time,l1_heap,l1_fast
0.0,0.0,0.0
0.02512562814070352,8.0,12.0
0.05025125628140704,16.0,24.0
0.07537688442211056,24.0,34.0
0.10050251256281408,30.0,30.0
0.1256281407035176,12.0,24.0
0.15075376884422112,16.0,20.0
0.17587939698492464,24.0,12.0
0.20100502512562815,28.0,22.0
0.22613065326633167,32.0,22.0
0.2512562814070352,8.0,8.0
0.2763819095477387,6.0,12.0
0.30150753768844224,4.0,16.0
0.32663316582914576,10.0,14.0
0.35175879396984927,16.0,28.0
0.3768844221105528,4.0,14.0
0.4020100502512563,16.0,16.0
0.4271356783919598,10.0,2.0
0.45226130653266333,18.0,22.0
0.47738693467336685,14.0,18.0
0.5025125628140704,18.0,32.0
0.5276381909547739,12.0,38.0
0.5527638190954774,6.0,32.0
0.577889447236181,8.0,16.0
0.6030150753768845,18.0,42.0
0.628140703517588,20.0,28.0
0.6532663316582915,2.0,8.0
0.678391959798995,10.0,12.0
0.7035175879396985,4.0,2.0
0.7286432160804021,2.0,8.0
0.7537688442211056,28.0,12.0
0.7788944723618091,30.0,12.0
0.8040201005025126,32.0,16.0
0.8291457286432161,36.0,14.0
0.8542713567839196,38.0,18.0
0.8793969849246231,44.0,12.0
0.9045226130653267,54.0,12.0
0.9296482412060302,52.0,20.0
0.9547738693467337,72.0,26.0
0.9798994974874372,72.0,30.0
1.0050251256281408,78.0,40.0
1.0301507537688444,78.0,42.0
1.0552763819095479,60.0,30.0
1.0804020100502514,76.0,30.0
1.105527638190955,88.0,18.0
1.1306532663316584,90.0,26.0
1.155778894472362,88.0,28.0
1.1809045226130654,68.0,46.0
1.206030150753769,78.0,42.0
1.2311557788944725,64.0,42.0
1.256281407035176,74.0,22.0
1.2814070351758795,62.0,38.0
1.306532663316583,64.0,40.0
1.3316582914572865,58.0,50.0
1.35678391959799,48.0,38.0
1.3819095477386936,64.0,24.0
1.407035175879397,70.0,28.0
1.4321608040201006,82.0,22.0
1.4572864321608041,82.0,32.0
1.4824120603015076,76.0,50.0
1.5075376884422111,80.0,50.0
1.5326633165829147,80.0,54.0
1.5577889447236182,66.0,38.0
1.5829145728643217,80.0,26.0
1.6080402010050252,96.0,18.0
1.6331658291457287,100.0,22.0
1.6582914572864322,100.0,22.0
1.6834170854271358,74.0,28.0
1.7085427135678393,74.0,22.0
1.7336683417085428,68.0,18.0
1.7587939698492463,78.0,6.0
1.7839195979899498,80.0,2.0
1.8090452261306533,82.0,4.0
1.8341708542713568,84.0,8.0
1.8592964824120604,82.0,6.0
1.8844221105527639,86.0,20.0
1.9095477386934674,66.0,10.0
1.934673366834171,62.0,10.0
1.9597989949748744,82.0,24.0
1.984924623115578,86.0,24.0
2.0100502512562817,82.0,20.0
2.035175879396985,62.0,22.0
2.0603015075376887,62.0,38.0
2.085427135678392,54.0,40.0
2.1105527638190957,48.0,22.0
2.1356783919597992,48.0,36.0
2.1608040201005028,62.0,46.0
2.1859296482412063,86.0,80.0
2.21105527638191,96.0,98.0
2.2361809045226133,86.0,96.0
2.261306532663317,104.0,110.0
2.2864321608040203,96.0,108.0
2.311557788944724,88.0,114.0
2.3366834170854274,86.0,116.0
2.361809045226131,82.0,114.0
2.3869346733668344,92.0,128.0
2.412060301507538,120.0,172.0
2.4371859296482414,110.0,160.0
2.462311557788945,104.0,160.0
2.4874371859296485,108.0,170.0
2.512562814070352,96.0,164.0
2.5376884422110555,76.0,156.0
2.562814070351759,82.0,180.0
2.5879396984924625,88.0,194.0
2.613065326633166,74.0,162.0
2.6381909547738696,82.0,170.0
2.663316582914573,84.0,184.0
2.6884422110552766,78.0,190.0
2.71356783919598,58.0,152.0
2.7386934673366836,56.0,174.0
2.763819095477387,48.0,182.0
2.7889447236180906,44.0,192.0
2.814070351758794,56.0,220.0
2.8391959798994977,56.0,228.0
2.864321608040201,58.0,198.0
2.8894472361809047,60.0,200.0
2.9145728643216082,60.0,206.0
2.9396984924623117,66.0,208.0
2.9648241206030153,72.0,214.0
2.9899497487437188,72.0,204.0
3.0150753768844223,66.0,206.0
3.040201005025126,50.0,190.0
3.0653266331658293,40.0,198.0
3.090452261306533,46.0,188.0
3.1155778894472363,22.0,176.0
3.14070351758794,16.0,168.0
3.1658291457286434,18.0,170.0
3.190954773869347,22.0,184.0
3.2160804020100504,16.0,172.0
3.241206030150754,4.0,158.0
3.2663316582914574,6.0,152.0
3.291457286432161,14.0,170.0
3.3165829145728645,30.0,188.0
3.341708542713568,20.0,184.0
3.3668341708542715,8.0,170.0
3.391959798994975,14.0,160.0
3.4170854271356785,10.0,166.0
3.442211055276382,2.0,160.0
3.4673366834170856,4.0,148.0
3.492462311557789,12.0,152.0
3.5175879396984926,22.0,148.0
3.542713567839196,24.0,144.0
3.5678391959798996,22.0,140.0
3.592964824120603,24.0,130.0
3.6180904522613067,32.0,114.0
3.64321608040201,38.0,86.0
3.6683417085427137,36.0,78.0
3.693467336683417,48.0,60.0
3.7185929648241207,50.0,66.0
3.7437185929648242,52.0,62.0
3.7688442211055277,72.0,44.0
3.7939698492462313,90.0,18.0
3.819095477386935,106.0,18.0
3.8442211055276383,108.0,20.0
3.869346733668342,110.0,14.0
3.8944723618090453,124.0,14.0
3.919597989949749,124.0,20.0
3.9447236180904524,120.0,18.0
3.969849246231156,114.0,10.0
3.9949748743718594,112.0,12.0
4.020100502512563,110.0,22.0
4.045226130653266,116.0,10.0
4.07035175879397,114.0,26.0
4.0954773869346734,112.0,18.0
4.120603015075377,122.0,2.0
4.1457286432160805,106.0,16.0
4.170854271356784,110.0,8.0
4.1959798994974875,110.0,8.0
4.2211055276381915,124.0,18.0
4.2462311557788945,138.0,16.0
4.2713567839195985,126.0,2.0
4.296482412060302,114.0,8.0
4.3216080402010055,110.0,20.0
4.346733668341709,102.0,26.0
4.371859296482413,122.0,12.0
4.396984924623116,124.0,8.0
4.42211055276382,110.0,16.0
4.447236180904523,110.0,32.0
4.472361809045227,108.0,46.0
4.49748743718593,92.0,78.0
4.522613065326634,90.0,86.0
4.547738693467337,82.0,96.0
4.572864321608041,78.0,114.0
4.597989949748744,86.0,112.0
4.623115577889448,106.0,90.0
4.648241206030151,112.0,98.0
4.673366834170855,118.0,88.0
4.698492462311558,100.0,100.0
4.723618090452262,98.0,88.0
4.748743718592965,116.0,74.0
4.773869346733669,134.0,62.0
4.798994974874372,158.0,28.0
4.824120603015076,166.0,24.0
4.849246231155779,172.0,10.0
4.874371859296483,180.0,34.0
4.899497487437186,184.0,42.0
4.92462311557789,178.0,40.0
4.949748743718593,184.0,52.0
4.974874371859297,196.0,60.0
5.0,202.0,66.0
