time,l1_heap,l1_fast
0.0,0.0,0.0
0.02512562814070352,12.0,6.0
0.05025125628140704,22.0,12.0
0.07537688442211056,24.0,16.0
0.10050251256281408,22.0,14.0
0.1256281407035176,6.0,26.0
0.15075376884422112,18.0,12.0
0.17587939698492464,28.0,14.0
0.20100502512562815,0.0,30.0
0.22613065326633167,8.0,40.0
0.2512562814070352,14.0,22.0
0.2763819095477387,32.0,10.0
0.30150753768844224,18.0,24.0
0.32663316582914576,30.0,22.0
0.35175879396984927,18.0,26.0
0.3768844221105528,24.0,22.0
0.4020100502512563,26.0,16.0
0.4271356783919598,48.0,8.0
0.45226130653266333,44.0,16.0
0.47738693467336685,44.0,16.0
0.5025125628140704,44.0,34.0
0.5276381909547739,38.0,6.0
0.5527638190954774,8.0,8.0
0.577889447236181,6.0,8.0
0.6030150753768845,28.0,14.0
0.628140703517588,28.0,8.0
0.6532663316582915,56.0,8.0
0.678391959798995,68.0,12.0
0.7035175879396985,84.0,20.0
0.7286432160804021,100.0,40.0
0.7537688442211056,110.0,34.0
0.7788944723618091,128.0,36.0
0.8040201005025126,138.0,38.0
0.8291457286432161,146.0,38.0
0.8542713567839196,170.0,56.0
0.8793969849246231,188.0,60.0
0.9045226130653267,198.0,50.0
0.9296482412060302,236.0,84.0
0.9547738693467337,248.0,82.0
0.9798994974874372,268.0,88.0
1.0050251256281408,280.0,102.0
1.0301507537688444,292.0,96.0
1.0552763819095479,296.0,90.0
1.0804020100502514,306.0,90.0
1.105527638190955,302.0,64.0
1.1306532663316584,320.0,68.0
1.155778894472362,334.0,52.0
1.1809045226130654,340.0,30.0
1.206030150753769,364.0,30.0
1.2311557788944725,386.0,50.0
1.256281407035176,412.0,68.0
1.2814070351758795,428.0,82.0
1.306532663316583,454.0,88.0
1.3316582914572865,474.0,96.0
1.35678391959799,502.0,104.0
1.3819095477386936,494.0,86.0
1.407035175879397,488.0,48.0
1.4321608040201006,510.0,64.0
1.4572864321608041,536.0,74.0
1.4824120603015076,546.0,60.0
1.5075376884422111,584.0,68.0
1.5326633165829147,602.0,72.0
1.5577889447236182,626.0,62.0
1.5829145728643217,636.0,50.0
1.6080402010050252,650.0,62.0
1.6331658291457287,644.0,40.0
1.6582914572864322,670.0,54.0
1.6834170854271358,670.0,40.0
1.7085427135678393,688.0,40.0
1.7336683417085428,674.0,16.0
1.7587939698492463,684.0,26.0
1.7839195979899498,666.0,4.0
1.8090452261306533,680.0,6.0
1.8341708542713568,698.0,0.0
1.8592964824120604,718.0,6.0
1.8844221105527639,734.0,10.0
1.9095477386934674,754.0,12.0
1.934673366834171,758.0,8.0
1.9597989949748744,758.0,16.0
1.984924623115578,762.0,22.0
2.0100502512562817,774.0,14.0
2.035175879396985,776.0,26.0
2.0603015075376887,784.0,36.0
2.085427135678392,786.0,32.0
2.1105527638190957,806.0,22.0
2.1356783919597992,820.0,26.0
2.1608040201005028,848.0,10.0
2.1859296482412063,868.0,28.0
2.21105527638191,870.0,44.0
2.2361809045226133,882.0,68.0
2.261306532663317,904.0,84.0
2.2864321608040203,916.0,88.0
2.311557788944724,926.0,100.0
2.3366834170854274,956.0,132.0
2.361809045226131,950.0,124.0
2.3869346733668344,940.0,106.0
2.412060301507538,958.0,120.0
2.4371859296482414,950.0,108.0
2.462311557788945,958.0,128.0
2.4874371859296485,978.0,132.0
2.512562814070352,1008.0,158.0
2.5376884422110555,1020.0,154.0
2.562814070351759,1066.0,192.0
2.5879396984924625,1062.0,180.0
2.613065326633166,1054.0,166.0
2.6381909547738696,1074.0,196.0
2.663316582914573,1080.0,192.0
2.6884422110552766,1050.0,148.0
2.71356783919598,1044.0,144.0
2.7386934673366836,1046.0,154.0
2.763819095477387,1052.0,144.0
2.7889447236180906,1066.0,140.0
2.814070351758794,1054.0,134.0
2.8391959798994977,1086.0,166.0
2.864321608040201,1096.0,188.0
2.8894472361809047,1108.0,198.0
2.9145728643216082,1086.0,176.0
2.9396984924623117,1082.0,170.0
2.9648241206030153,1068.0,154.0
2.9899497487437188,1082.0,182.0
3.0150753768844223,1072.0,162.0
3.040201005025126,1068.0,144.0
3.0653266331658293,1076.0,158.0
3.090452261306533,1084.0,164.0
3.1155778894472363,1084.0,134.0
3.14070351758794,1094.0,130.0
3.1658291457286434,1104.0,128.0
3.190954773869347,1098.0,118.0
3.2160804020100504,1116.0,118.0
3.241206030150754,1104.0,92.0
3.2663316582914574,1104.0,96.0
3.291457286432161,1114.0,110.0
3.3165829145728645,1110.0,112.0
3.341708542713568,1118.0,108.0
3.3668341708542715,1122.0,110.0
3.391959798994975,1120.0,108.0
3.4170854271356785,1134.0,136.0
3.442211055276382,1136.0,148.0
3.4673366834170856,1136.0,128.0
3.492462311557789,1116.0,92.0
3.5175879396984926,1116.0,64.0
3.542713567839196,1118.0,82.0
3.5678391959798996,1134.0,110.0
3.592964824120603,1106.0,76.0
3.6180904522613067,1118.0,94.0
3.64321608040201,1120.0,96.0
3.6683417085427137,1146.0,112.0
3.693467336683417,1144.0,112.0
3.7185929648241207,1126.0,88.0
3.7437185929648242,1138.0,110.0
3.7688442211055277,1136.0,124.0
3.7939698492462313,1158.0,142.0
3.819095477386935,1154.0,146.0
3.8442211055276383,1172.0,178.0
3.869346733668342,1160.0,174.0
3.8944723618090453,1148.0,164.0
3.919597989949749,1174.0,196.0
3.9447236180904524,1148.0,162.0
3.969849246231156,1138.0,150.0
3.9949748743718594,1120.0,118.0
4.020100502512563,1104.0,98.0
4.045226130653266,1116.0,112.0
4.07035175879397,1100.0,96.0
4.0954773869346734,1102.0,94.0
4.120603015075377,1102.0,80.0
